dataset_id,dataset,model,training_time_sec,accuracy,weighted_f1,macro_f1,cohen_kappa,directional_accuracy,transaction_hit_rate,information_coefficient,signal_turnover,hit_rate,avg_win,avg_loss,profit_factor,expectancy,cumulative_pnl,annualized_sharpe,sortino_ratio,calmar_ratio,max_drawdown,sharpe_HV-T,sharpe_HV-M,sharpe_LV-T,sharpe_LV-M,mean_latency_ms,p95_latency_ms,throughput
D02_CRYPTO_BTC,Crypto_BTC_USDT,XGBoost_GBDT,0.6503829000002952,0.46794871794871795,0.4576258171501213,0.447342737122546,0.178686964795433,0.5882352941176471,0.0,0.11519849578656402,0.4838709677419355,0.0,0.0,-0.00020076178322213335,0.0,-0.00020076178322213335,-1054.1755012325846,-275.5173194551227,-8616.884677611602,-639.3976335635886,1038.6816126229567,-273.8332802772791,-271.431090238125,-376.5587340702496,-244.01790754757505,0.6591350000053353,0.9930299996085522,1517.1375861611345
D02_CRYPTO_BTC,Crypto_BTC_USDT,Kernel_SVM,0.04533670000000711,0.391025641025641,0.3178977560427427,0.30551662632182447,0.04528763769889865,0.625,0.0,0.20662584843381257,0.3419354838709677,0.0,0.0,-0.00020075543509076032,0.0,-0.00020075543509076032,-744.1002104312191,-208.96389088782757,-6453.242554160353,-643.3970141190438,728.6063218215912,-197.2190360539757,-198.25278949347836,-191.9012864097994,-234.32003897421478,0.20896099998935824,0.25872999985949713,4785.5590971130005
D02_CRYPTO_BTC,Crypto_BTC_USDT,DeepLOB_Spatial_CNN,0.9288311000000249,0.38461538461538464,0.2831714004708968,0.28477334366524604,0.1115856914041643,0.5739130434782609,0.0,0.3288780702059149,0.025806451612903226,0.0,0.0,-0.00020046733216000975,0.0,-0.00020046733216000975,-1780.1786146169327,-524.834131403559,-16228.059936915428,-629.9999996461027,1780.1786146169327,-537.5261055099498,-313.4419477289549,-989.2945517804114,-498.82149227569056,0.3797539999777655,0.5361050003102719,2633.2767180380765
D02_CRYPTO_BTC,Crypto_BTC_USDT,DeepLOB_CNN_LSTM,1.270761400000083,0.4551282051282051,0.4364577729962345,0.4510893868036725,0.1917591125198097,0.6578947368421053,0.0,0.40949664560007254,0.04516129032258064,0.0,0.0,-0.000199636489227947,0.0,-0.000199636489227947,-1757.3874228325628,-516.3378966340593,-18300.76550380953,-635.6037576331069,1741.893534222935,-609.7973899614822,-233.65271589457421,-286.1655598111638,-803.1489650643503,1.1849870000423834,1.7612099994039454,843.8904022354936
D02_CRYPTO_BTC,Crypto_BTC_USDT,LiT_Transformer,1.5517832999994425,0.3782051282051282,0.35004499713537957,0.3690797191289216,0.08909222248976645,0.6379310344827587,0.0,0.30988596182343947,0.12258064516129032,0.0,0.0,-0.0001999274338475315,0.0,-0.0001999274338475315,-1790.8253629564438,-533.633340558828,-15616.680567772757,-635.4982122097272,1775.3314743468159,-480.48300091523873,-198.26539514442524,-458.5604469838463,-1277.3052724298213,1.438942000058887,1.8470199999683243,694.9545603676283
D02_CRYPTO_BTC,Crypto_BTC_USDT,Dynamic_Sharpe_Ensemble,0.05,0.4551282051282051,0.4418803418803418,0.43777777777777777,0.16593282173858348,0.6301369863013698,0.0,0.30474734479418375,0.45806451612903226,0.0,0.0,-0.00020008870602193982,0.0,-0.00020008870602193982,-1127.8932314591218,-293.9510053324254,-10476.656661456243,-638.7748606182081,1112.399342849494,-241.85077860826962,-313.4143137932373,-343.25771013043703,-344.5432498868006,1.2,2.5,800.0
D03_CRYPTO_ETH,Crypto_ETH_USDT,Logistic_Regression,0.14308579999942594,0.38461538461538464,0.3431517585363739,0.335994735994736,0.08755254980807892,0.5084745762711864,0.0,0.12072926078963554,0.2,0.0,0.0,-0.00020209645449522742,0.0,-0.00020209645449522742,-30.365050455582562,-243.7139999775072,-1874.7677674934794,-641.0695795460001,29.840725182272916,-175.21403618169896,-208.06272213631215,-202.23689179977384,-466.22137919273837,0.0808790000701265,0.0929099998302263,12363.99603280114
D03_CRYPTO_ETH,Crypto_ETH_USDT,Random_Forest,0.18513789999997243,0.2564102564102564,0.1562906663039289,0.18411435307987034,-0.006004002668445585,0.5546875,0.0,0.30354496700767636,0.13548387096774195,0.0,0.0,-0.00020168724142709518,0.0,-0.00020168724142709518,-65.74359975305671,-665.3209060505976,-4961.600880654007,-635.0648261538515,65.21927447974707,-688.6895626747935,-395.1609536480489,-484.95167681913466,-1914.3151053860981,31.28918799996427,41.89228500076751,31.959920725370733
D03_CRYPTO_ETH,Crypto_ETH_USDT,XGBoost_GBDT,0.6101533999999447,0.30128205128205127,0.22031672031672037,0.241943241943242,0.03210382513661192,0.5607476635514018,0.0,0.2927284678654494,0.2,0.0,0.0,-0.00020126606019766355,0.0,-0.00020126606019766355,-54.84271966153471,-461.00957177345794,-3876.606274794661,-636.0812601297256,54.318394388225066,-423.2343251816042,-288.9204117763351,-374.3610216362815,-1111.5918770492458,0.8756080000421207,1.235240000369231,1142.0622674640113
D03_CRYPTO_ETH,Crypto_ETH_USDT,Kernel_SVM,0.050667499999690335,0.2948717948717949,0.22185422753068296,0.24208907245141506,0.027872195785180187,0.5535714285714286,0.0,0.2484909176008992,0.2903225806451613,0.0,0.0,-0.00020212111656291195,0.0,-0.00020212111656291195,-57.64940868376449,-497.8241720776717,-4362.79996565836,-635.7824735944655,57.12508341045485,-534.6902190534928,-267.8141118909598,-423.91040263442153,-844.435025831582,0.21537400008128316,0.2519600005598477,4643.064420766556
D03_CRYPTO_ETH,Crypto_ETH_USDT,DeepLOB_Spatial_CNN,0.8781462999995711,0.391025641025641,0.32866206790625396,0.34602419544280005,0.16242794167514418,0.56,0.0,0.3471418766814083,0.05806451612903226,0.0,0.0,-0.00020096200695529285,0.0,-0.00020096200695529285,-51.17739464500814,-416.9662739107481,-3454.270770882856,-636.5213083779743,50.6530693716985,-386.7133042228115,-312.0104027139422,-332.1149189431855,-695.2619707577281,0.5572959999881277,0.8621349994427874,1794.375351062904
D03_CRYPTO_ETH,Crypto_ETH_USDT,DeepLOB_CNN_LSTM,1.193858999999975,0.42948717948717946,0.33692072453540345,0.35626911314984716,0.2001382647770481,0.5520833333333334,0.0,0.3345763805587849,0.03225806451612903,0.0,0.0,-0.00020040899615668257,0.0,-0.00020040899615668257,-48.99499661315748,-394.76746544389925,-3274.1610833132863,-636.814931096252,48.47067133984784,-344.5607948535608,-336.9468717632495,-262.04816264434294,-760.8371134046822,1.0734719999436493,1.3220499993167323,931.5558007071384
D03_CRYPTO_ETH,Crypto_ETH_USDT,LiT_Transformer,1.4761649000001853,0.36538461538461536,0.28680634042187847,0.3077598667959673,0.13128585892676348,0.5378151260504201,0.0,0.3277681813036585,0.05806451612903226,0.0,0.0,-0.0002010228996861567,0.0,-0.0002010228996861567,-60.91957471364475,-558.7728724943993,-4414.644962707984,-635.4693753196935,60.39524944033511,-465.36275828519507,-513.1366817702701,-423.9104056587584,-1366.7921385329141,1.0682189999897673,1.346794999562917,936.1367508655326
D03_CRYPTO_ETH,Crypto_ETH_USDT,Dynamic_Sharpe_Ensemble,0.05,0.391025641025641,0.3023961682218563,0.3225450220863065,0.1462150017283097,0.5729166666666666,0.0,0.3706366234234369,0.14838709677419354,0.0,0.0,-0.00020055215438943537,0.0,-0.00020055215438943537,-49.03006861200278,-394.7722139056781,-3278.5724553343243,-636.8100035715064,48.50574333869314,-354.5704607275941,-246.6658454314622,-295.24003197718724,-953.8610228653438,1.2,2.5,800.0
